"","word","freq","sentiment","delay"
"1","‚Äù",3,0.384615385,-0.6
"2","‚Äôs",82,0.479863024,-0.4509946484
"3","‡è‡",1,0.873113208,-0.307692308
"4","„Å„",3,1.196875,1.25
"5","„Å„Å",6,0.558526519,4.230769231
"6","ÂÅ¸",3,-0.057142857,3
"7","‡‡à",1,0.873113208,-0.307692308
"8","‡‡ç‡",1,0.873113208,-0.307692308
"9","‡‡‡",9,0.670551242,-0.668831169
"10","aaaa",1,-0.5,0.666666667
"11","aaaaaa",1,0.399,0
"12","aaaaaahhh",1,0.215021459,-0.68627451
"13","aaaaaahhhhhhh",1,0.240425532,0.285714286
"14","aaaaand",4,0.3200759535,-0.375
"15","aaaallll",1,-0.169230769,0.5
"16","aaalove",1,0.847058824,-0.875
"17","aaand",1,0.075,1.142857143
"18","aaarena",1,0.706153846,-0.666666667
"19","aacidad",1,0.433974359,-0.333333333
"20","aacom",3,0.309313742666667,-0.435946637333333
"21","aacomawardsubmitda",1,0.088205128,1.379310345
"22","aacominaadvantag",1,0.204850746,0.229166667
"23","aacr",1,0.904326923,-0.393939394
"24","aacustomerserv",3,0.447473118333333,-0.469047619
"25","aadaddario",203,0.472425064714286,0.486511585
"26","aadeaton",1,0.320833333,-0.23255814
"27","aadictive",1,0.518181818,2
"28","aadoesntcare",1,0.029428571,0.458333333
"29","aadoesntgiveafuckaboutitspassangers",1,0.287606838,0.611111111
"30","aadv",1,0.573684211,-0.428571429
"31","aadva",1,0.514145658,-0.65
"32","aadvantage",9680,0.431114959002625,0.298032211656168
"33","aadvantagestatusworthless",1,0.423595506,-0.306122449
"34","aadvatage",1,0.319166667,0.176470588
"35","aae",1,0.352631579,1.310344828
"36","aagents",1,0.287218045,-0.690909091
"37","aahh",1,0.126612903,3.25
"38","aahhh",1,0.12,0
"39","aahronheim",15,-0.0711088155,-0.25
"40","aairbus",1,-0.011111111,-0.5
"41","aairlinessucks",3,0.301536592333333,0.318749474333333
"42","aairwaves",1,0.239622642,-0.03030303
"43","aakemp",1,0.666666667,9
"44","aal",7,0.129100989571429,1.22361399485714
"45","aaliyahjae",3,0.81375,0.125
"46","aalwayslate",1,0.337116564,-0.055555556
"47","aamaousd",1,0.366049383,-0.142857143
"48","aamazing",4,0.31704169175,0.30769230775
"49","aamengual",1,0.095744681,-0.24137931
"50","a„o",1,0.195762712,2.962962963
"51","aaonpoint",1,0.144117647,-0.25
"52","aapdox",1,0.35787037,-0.083333333
"53","aaplatinum",1,0.54469697,0.25
"54","aarchive",1,0.333333333,-1
"55","a„rea",1,0.349137931,-0.363636364
"56","aaron",2,0.244117647,-0.2
"57","aaronabi",1,0.156,1.090909091
"58","aaronbastani",1,0.061160714,-0.818181818
"59","aaronblau",1,0.293684211,-0.136363636
"60","aaroncarter",4,0.0699355743333333,0.588888889
"61","aaroncasi",3,0.228888889,0.25
"62","aaronecarroll",1,0.792592593,-0.153846154
"63","aaronjon",1,0.835,-0.6875
"64","aaronkes",1,0.303311258,0.135135135
"65","aaronklein",1,0.35,-0.625
"66","aaronmermelpokr",2,-0.35375,-0.0166666665
"67","aaronnsolano",2,0.496153846,1.818181818
"68","aaronpaul",3,0.228282828,-0.414634146
"69","aaronprime",1,0.371590909,-0.583333333
"70","aaronspain",1,0.355670103,0.166666667
"71","aaronstash",1,0.586982249,3.818181818
"72","aaronstraka",1,0.91754386,-0.535714286
"73","aaronsuttles",1,0.448591549,-0.111111111
"74","aaronthivierge",1,0.626086957,-1
"75","aarp",3,-0.2120454545,-0.5
"76","aarpadvocates",1,-0.625,0
"77","aarules",1,0.141666667,-0.5
"78","aasifshabbir",1,0.652525253,0.777777778
"79","aasucksevenmore",1,0.287606838,0.611111111
"80","aateam",32,0.389108055033333,0.130854970166667
"81","aaubs",1,0.38908046,-0.1
"82","aavacations",33,0.386556442,0.108763711857143
"83","aaw",2,0.5984126985,0.1388888885
"84","aawesome",3,0.407498292333333,-0.034722222
"85","aaziam",1,0.39137931,-0.85
"86","aba",1,-0.4625,3.6
"87","abajo",1,0.415277778,0
"88","abandon",1,-0.146153846,-1
"89","abandona",1,0.4265625,-0.666666667
"90","abandoned",2,-0.248666667,2.5
"91","abandoning",1,0.6355,-0.5
"92","abbasis",1,0.074183007,-0.2
"93","abbasrustom",1,0.421774194,1.333333333
"94","abbey",1,0.059090909,1.333333333
"95","abbeycumnock",1,0.308955224,0.909090909
"96","abbeygoldberg",1,0.3125,0
"97","abbeymewm",1,0.212328767,0.333333333
"98","abbeyroad",10,0.219444444,-0.475409836
"99","abbiemood",1,0.435882353,1.75
"100","abbieunger",1,0.595,-0.909090909
"101","abby",1,0.398351648,-0.5
"102","abbyschukman",1,0.604464286,1.333333333
"103","abbyspop",1,1.23,-1
"104","abbytoofancy",1,0.431666667,0.125
"105","abc",12,0.385649123090909,-0.114436321272727
"106","abcamarillo",1,0.673134328,0.052631579
"107","abccomnewsveterani",2,-0.1691666665,-0.6
"108","abcdefghijade",1,0.2,0
"109","abcfrances",1,0.415277778,8.2
"110","abchouston",1,-0.426315789,8
"111","abcjamie",1,0.218965517,-0.8
"112","abcmarccr",7,0.264365079,2.122222222
"113","abcn",1,0.34375,-0.5
"114","abcnetwork",1,0.452941176,-0.52173913
"115","abcnews",1,0.075,-1
"116","abcnewscomlifestyletrav",16,0.530338164,0.9
"117","abcnwsobiat",1,0.868421053,1.269230769
"118","abcny",1,0.485294118,-0.125
"119","abcpublicity",1,0.452941176,-0.52173913
"120","abcworldnews",1,0.404938272,0.1
