"","airline","hour","Date","X","Sentiment","word1","freq1","word2","freq2","word3","freq3","DEP_DELAY","DEP_DELAY_GROUP","ARR_DELAY","DISTANCE","AIR_TIME","MONTH","DAY_OF_MONTH","DAY_OF_WEEK"
"1","AA",1,2016-01-02,230,0.182142857,"arrive",1,"arriving",1,"back",1,9,0,-8.5,1604,187,1,2,6
"2","AA",1,2016-01-04,231,0.265,"thanks",5,"well",5,"sorry",4,38.14285714,2.142857143,34.42857143,1728,201.4285714,1,4,1
"3","AA",1,2016-01-07,232,0.25,"now",6,"please",6,"delayed",5,51,3,60.33333333,1604,179.6666667,1,7,4
"4","AA",1,2016-01-12,229,1.092105263,"crew",4,"american",2,"baggage",2,149,9,136,2586,299,1,12,2
"5","AA",1,2016-02-01,296,0.346428571,"able",1,"assistance",1,"boeingairplanes",1,16,1,-3.5,1910,200.5,2,1,1
"6","AA",1,2016-02-02,299,0.33372093,"please",2,"alanpineda",1,"bitlymoreaboutupgs",1,99,6,90,1846,214,2,2,2
"7","AA",1,2016-02-04,300,0.363636364,"agents",1,"always",1,"america",1,327,12,319,1235,170,2,4,4
"8","AA",1,2016-02-08,302,0.076442308,"get",19,"please",16,"team",14,2,0,17,1846,233,2,8,1
"9","AA",1,2016-03-01,303,-0.034285714,"gate",2,"team",2,"bitlyaacr",1,19,1,22,2125,257,3,1,2
"10","AA",1,2016-03-03,324,0.596511628,"nimaghafari",6,"please",6,"back",5,20.25,0.75,18.25,1861.5,212,3,3,4
"11","AA",1,2016-03-04,326,0.338679245,"afternoon",1,"boss",1,"called",1,-7,-1,-6,1744,196,3,4,5
"12","AA",1,2016-03-05,327,0.04375,"always",1,"bright",1,"cityandsand",1,40.4,2.2,33.6,2003.4,230.4,3,5,6
"13","AA",1,2016-03-06,328,0.238235294,"response",2,"back",1,"believe",1,17,0.666666667,11,1777.666667,209,3,6,7
"14","AA",1,2016-03-07,329,0.357746479,"please",8,"thanks",7,"sorry",6,34,1.75,34.25,1514.75,179,3,7,1
"15","AA",1,2016-03-08,330,0.159722222,"get",7,"sorry",7,"time",7,244.6666667,7.666666667,237.3333333,1196,146.3333333,3,8,2
